#id, pixel, line, longitue, latitude
172, 17654, 4319, -119.75, 35.73
173, 18117, 4557, -117.25, 32.9
174, 17961, 4480, -118.09, 33.8
175, 18462, 4523, -114.73, 33.39
176, 18224, 4493, -116.31, 33.69
177, 17320, 4222, -121.81, 36.9
178, 17245, 4149, -122.14, 37.84
179, 18112, 4494, -117.09, 33.66
180, 18320, 4542, -115.8, 33.12
181, 18341, 4546, -115.66, 33.08
182, 17721, 4312, -119.26, 35.83
183, 17887, 4263, -117.92, 36.49
184, 18139, 4571, -117.14, 32.73
185, 18434, 4604, -115.2, 32.41
186, 18485, 4598, -114.83, 32.49
187, 17182, 4129, -122.53, 38.09
189, 17887, 4273, -117.95, 36.36
190, 17561, 4265, -120.24, 36.39
191, 17286, 4163, -121.89, 37.66
192, 18071, 4444, -117.22, 34.26
194, 17431, 4161, -120.85, 37.72
195, 17358, 4071, -121.1, 38.89
196, 17219, 4084, -122.14, 38.69
197, 17941, 4413, -118.03, 34.62
198, 17795, 4434, -119.1, 34.33
199, 18122, 4447, -116.87, 34.24
200, 18229, 4489, -116.26, 33.75
201, 18454, 4597, -115.04, 32.49
202, 17559, 4373, -120.56, 35.03
203, 17685, 4309, -119.5, 35.86
204, 17876, 4427, -118.52, 34.43
