LINESTRING
LINESTRING
6731,10187,-215,-25
6407,9747,-215,-20
6152,9290,-215,-15
5968,8822,-215,-10
5857,8346,-215,-5
5820,7866,-215,0
5857,7385,-215,5
5968,6909,-215,10
6152,6441,-215,15
6407,5985,-215,20
LINESTRING
LINESTRING
12457,13022,-195,-70
11763,12871,-195,-65
11087,12679,-195,-60
10438,12447,-195,-55
9819,12175,-195,-50
9238,11865,-195,-45
8700,11520,-195,-40
8210,11142,-195,-35
7775,10733,-195,-30
7397,10298,-195,-25
7082,9840,-195,-20
6834,9364,-195,-15
6654,8872,-195,-10
6545,8371,-195,-5
6509,7866,-195,0
6545,7360,-195,5
6654,6859,-195,10
6834,6368,-195,15
7082,5891,-195,20
7397,5433,-195,25
7775,4998,-195,30
8210,4590,-195,35
8700,4211,-195,40
9238,3866,-195,45
9819,3557,-195,50
10438,3285,-195,55
11087,3052,-195,60
11763,2860,-195,65
LINESTRING
LINESTRING
13700,13187,-175,-75
13161,13095,-175,-70
12629,12960,-175,-65
12108,12781,-175,-60
11602,12559,-175,-55
11117,12294,-175,-50
10659,11988,-175,-45
10231,11643,-175,-40
9840,11261,-175,-35
9490,10844,-175,-30
9185,10397,-175,-25
8930,9924,-175,-20
8727,9429,-175,-15
8580,8917,-175,-10
8492,8394,-175,-5
8462,7866,-175,0
8492,7337,-175,5
8580,6814,-175,10
8727,6302,-175,15
8930,5807,-175,20
9185,5334,-175,25
9490,4887,-175,30
9840,4471,-175,35
10231,4088,-175,40
10659,3743,-175,45
11117,3437,-175,50
11602,3173,-175,55
12108,2950,-175,60
12629,2772,-175,65
13161,2636,-175,70
LINESTRING
LINESTRING
14446,13224,-155,-75
14155,13144,-155,-70
13866,13019,-155,-65
13581,12850,-155,-60
13303,12635,-155,-55
13035,12376,-155,-50
12781,12073,-155,-45
12542,11728,-155,-40
12323,11343,-155,-35
12126,10921,-155,-30
11954,10466,-155,-25
11809,9983,-155,-20
11694,9475,-155,-15
11611,8949,-155,-10
11560,8410,-155,-5
11543,7866,-155,0
11560,7321,-155,5
11611,6782,-155,10
11694,6256,-155,15
11809,5749,-155,20
11954,5265,-155,25
12126,4810,-155,30
12323,4389,-155,35
12542,4004,-155,40
12781,3659,-155,45
13035,3356,-155,50
13303,3096,-155,55
13581,2882,-155,60
13866,2712,-155,65
14155,2587,-155,70
LINESTRING
LINESTRING
15308,13237,-135,-75
15308,13161,-135,-70
15308,13040,-135,-65
15308,12874,-135,-60
15308,12662,-135,-55
15308,12405,-135,-50
15308,12103,-135,-45
